,Time,User,Tweet,Country,No of retweet
17,2023-01-27 14:55:40+00:00,Optimum_Prime1,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Earth ain't big Enough,158
18,2023-01-27 14:55:26+00:00,Ru4us6,"@a_ma_ka__ @ZenithBank Nice one, congratulations to you. This is a lesson to everyone. Cry out when you are unjustly cheated, don't stay mute with the notion that nothing can be done.",Nigeria,0
19,2023-01-27 14:55:08+00:00,gbogzybabs,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,,158
20,2023-01-27 14:54:07+00:00,Dboringhustler,@firmCruise @a_ma_ka__ @ZenithBank @PiggyBankNG 4m and 18k interest? You think is is a good deal?! God forbid.,"Lagos, Nigeria",0
21,2023-01-27 14:53:05+00:00,Tonylex18,"@ZenithBank @ZenithBank  try to be treating your customers well, my 12k is still no where to be found with no proper explanation",,0
22,2023-01-27 14:52:47+00:00,Femiskii,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,,158
23,2023-01-27 14:51:55+00:00,davidfatunmbi,"@cenbank, it is good that banking hours have been extended. But something needs to be done to find out why the banks are still paying the old notes over the counter with the deadline just days away. 

At the two banks I went to today, @gtbank and @ZenithBank, that's what they did",,0
24,2023-01-27 14:51:37+00:00,OG_Tbanks,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",solitude,1255
25,2023-01-27 14:51:21+00:00,lemmy_23190,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Federal Capital Territory, Nigeria",1255
26,2023-01-27 14:50:51+00:00,nosaanyia,@Benstinoc @a_ma_ka__ @ZenithBank Pls add me to your prayers too 😔😔,Galaxy,0
27,2023-01-27 14:50:22+00:00,EmmanuelOkede1,"RT @ZenithBank: Dear Valued Customer,

07040004422 (ZIVA)
is the only Zenith Bank Whatsapp number.
ALL OTHERS ARE FAKE!
DO NOT ENGAGE WITH…","Abua, Nigeria",74
28,2023-01-27 14:50:17+00:00,EmmanuelOkede1,RT @smart6424: @ZenithBank As if you no Dey notice those scammers page under your tweet but you will keep mute like you guys are working ha…,"Abua, Nigeria",2
29,2023-01-27 14:49:57+00:00,_AbrahamAb,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Ibadan, Nigeria",1255
30,2023-01-27 14:49:49+00:00,DrNomzy,@a_ma_ka__ @ZenithBank +234 706 472 9943,,0
31,2023-01-27 14:49:33+00:00,stillwarhead0,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Last days of our lives ,158
32,2023-01-27 14:49:30+00:00,Mykestore1,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Lagos,158
33,2023-01-27 14:49:16+00:00,mayor_skill,@UyannaRaphael @ZenithBank Like how much is urs bros?! And wen did u make the transaction and is it Pos or bank atm machine??,"Ibadan, Nigeria",0
34,2023-01-27 14:48:28+00:00,awastella38,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/1fCswN9S89",,21
35,2023-01-27 14:48:15+00:00,ClockwisePounds,RT @ChiomaChuka: Very glad to see she's gotten most of her money back; hopefully she gets it all back. @ZenithBank I hope you have compensa…,,3
36,2023-01-27 14:48:03+00:00,Ayooflife,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",ilu oyinbo,1255
37,2023-01-27 14:47:53+00:00,N_Chimarokem,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Future,1255
38,2023-01-27 14:47:16+00:00,mildred_ojm,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,"Lagos, Nigeria",158
39,2023-01-27 14:46:23+00:00,Iamsamwise12,@Sterling_Bankng @Sterling_Bankng @sterlinghelp @ZenithBank https://t.co/bZb3h1P5fn,"Lagos, Nigeria",0
40,2023-01-27 14:45:44+00:00,Tinu_Wealth01,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,"Lagos, Nigeria",158
41,2023-01-27 14:45:42+00:00,joyomoanono,@a_ma_ka__ @ZenithBank Congrats dear🥰 am happy for you💃,Lagos,0
42,2023-01-27 14:45:38+00:00,cyrilugo5,"@a_ma_ka__ @ZenithBank Thanks be to God, ur beauty done come again",Italia,0
43,2023-01-27 14:45:24+00:00,Iamsamwise12,@Sterling_Bankng @Sterling_Bankng @ZenithBank resolve the issues I reposted since January 3rd I haven’t gotten my money back https://t.co/FTDUnbt69l,"Lagos, Nigeria",0
44,2023-01-27 14:45:06+00:00,emier8tweep,@ZenithBank why will you guys stop your customers from receiving credit alert instantly… HABA!!! 😤,"Chels, NG",0
45,2023-01-27 14:44:33+00:00,TheToluAdeyi,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,🇳🇬🇨🇦🇳🇴🇦🇺,158
46,2023-01-27 14:44:07+00:00,Chi_keluba,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Hidden leaf village,158
47,2023-01-27 14:44:01+00:00,bellatruth36,RT @hacknonymos: Zenith bank is after my life ooo @ZenithBank I use an iPhone but not iPhone 13. And I did not login to my mobile app yeste…,"Lagos, Nigeria ",1
48,2023-01-27 14:43:45+00:00,0xAdekolapo,"RT @Jeyon1: hello @fccpcnigeria? good morning, i have just signed up/submitted my case in order to be able to petition @ZenithBank in regar…",Hire me ➡️,66
49,2023-01-27 14:43:42+00:00,VeraBen08422951,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/1fCswN9S89",,21
50,2023-01-27 14:43:24+00:00,UwakweChimobi,@zenithbankpls13 @ZenithBank come and see the people that are trying to defraud your clients here. @zenithbankpls13 is one😂😂 it’s not even PLC it’s Pls 😂😂,,0
51,2023-01-27 14:43:20+00:00,UyannaRaphael,@mayor_skill @ZenithBank I am facing same challenges... @ZenithBank is really Messing up right now,,0
52,2023-01-27 14:42:55+00:00,EGHO231,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Treasure Island ☺,1255
53,2023-01-27 14:42:28+00:00,adeonipekuntobs,@villageboy01 @a_ma_ka__ @ZenithBank @StanChartNG Interesting,,0
54,2023-01-27 14:42:21+00:00,Holarlincoln,@a_ma_ka__ @ZenithBank Are you single??,@stoont_hq ,0
55,2023-01-27 14:42:00+00:00,lifemademe,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Not there yet,1255
56,2023-01-27 14:41:35+00:00,PathoOOA,@villageboy01 @a_ma_ka__ @ZenithBank @StanChartNG I will be opening one then ...,,0
57,2023-01-27 14:41:25+00:00,AsChiWasSayin,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Lagos,1255
58,2023-01-27 14:41:02+00:00,adeonipekuntobs,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",,1255
59,2023-01-27 14:40:58+00:00,AmawbiaAmaka,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",,1255
60,2023-01-27 14:40:42+00:00,so_near,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,,158
61,2023-01-27 14:40:34+00:00,0xAdekolapo,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Hire me ➡️,158
62,2023-01-27 14:40:22+00:00,sulex_ladimeji,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Ilorin and Lagos,1255
63,2023-01-27 14:40:05+00:00,mcattah,"@a_ma_ka__ @Onflood_ @ZenithBank Be like I’d use this approach for @gtbank  oh. My N405,000 enter voicemail till today",Abuja,1
64,2023-01-27 14:39:44+00:00,AbutuMercie,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Lagos,1255
65,2023-01-27 14:39:41+00:00,AngelGab4real,Aswear Zenith Bank @ZenithBank is worst than yahoo boys.... in fact is Yahoo Yahoo Bank https://t.co/89v9V0EXIm,"Abuja, Nigeria",0
66,2023-01-27 14:39:10+00:00,robert_teewhy,@ZenithBank Why is zenith bank like this…. It’s over 72 hours and they haven’t refund me back🤦🤦🤦,"Lagos, Nigeria",0
67,2023-01-27 14:38:51+00:00,7NADP_H,"Zenith Bank, Kilode?!
You people have thieves amongst you. Do something about it @ZenithBank",Earth,0
68,2023-01-27 14:38:04+00:00,NNAYELUGO_M,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Land of the Rising Sun,1255
69,2023-01-27 14:37:01+00:00,wonderfulson2,@ZenithBank Hi,,0
70,2023-01-27 14:36:12+00:00,Ibekweuche,"There more than 10 or 15 banks along Ajose Adeogun Street in V/Island, I can tell you only ONE ATM is dispensing money (@UBAGroup ) at the end of the street coming from LandMark.  @ZenithBank which practically out number others banks are not dispensing. @cenbank what do we do?",Lagos Nigeria,0
71,2023-01-27 14:35:50+00:00,His_Priest,@umuobiala @ZenithBank Heavy one!!,"Onitsha, Nigeria",0
72,2023-01-27 14:35:24+00:00,MrPokima,@meetjeo Ahh it’s your card we are using to survive oh @ZenithBank please fix her issue abeg,Nigeria,0
73,2023-01-27 14:35:12+00:00,bellatruth36,"Omo @ZenithBank dey burst my head. 

How in the world,  do I share my account number in your DM and all of a sudden someone has logged into my account successfully? 

And y'all are even sending me an email about it. 

Are you guys for real? 

What sort of terrible...","Lagos, Nigeria ",0
74,2023-01-27 14:34:55+00:00,DCReignZ,"@WhyzarB @a_ma_ka__ @ZenithBank What’s with this childish behavior oga, sometimes learn to respect yourself",,0
75,2023-01-27 14:34:23+00:00,harry_tally,@ZenithBank This one is serious gong... Sunday too?,Warri,0
76,2023-01-27 14:34:22+00:00,EGHO231,"RT @Jeyon1: hello @fccpcnigeria? good morning, i have just signed up/submitted my case in order to be able to petition @ZenithBank in regar…",Treasure Island ☺,66
77,2023-01-27 14:34:19+00:00,hyt1899,"@ecobank_nigeria I thought I had seen it all with @ZenithBank and failed transactions not been reversed within 24 hours in line with @cenbank directive, but I was wrong. The nightmare experience with you is now the benchmark.",Kuwait city,0
78,2023-01-27 14:34:10+00:00,EGHO231,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Treasure Island ☺,158
79,2023-01-27 14:34:03+00:00,EGHO231,"RT @Jeyon1: hello @fccpcnigeria? good morning, i have just signed up/submitted my case in order to be able to petition @ZenithBank in regar…",Treasure Island ☺,9
80,2023-01-27 14:32:05+00:00,Kentalky_OG,@ZenithBank Does it mean that Zenith bank all over the country (Nigeria) are not the same??,,0
81,2023-01-27 14:31:54+00:00,valsyl,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,,158
82,2023-01-27 14:30:24+00:00,OmonzyGiwa,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Abuja,1255
83,2023-01-27 14:29:52+00:00,ItekNsikan,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,where there is peace,158
84,2023-01-27 14:29:51+00:00,DCReignZ,"@mzibifaka @WhyzarB @a_ma_ka__ @ZenithBank Swears, i no like man way de so busy body",,0
85,2023-01-27 14:28:54+00:00,aliyu_akarim2,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Global Citizen,1255
86,2023-01-27 14:28:34+00:00,xamwirab,@ZenithBank please how do get in contact with you by phone? The number listed does not connect,,0
87,2023-01-27 14:28:09+00:00,jastrup7,@ZenithBank don’t play with me,,0
88,2023-01-27 14:27:48+00:00,Ngamsi_,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,,158
89,2023-01-27 14:26:13+00:00,DEUXSVELTE,"RT @Jeyon1: hello @fccpcnigeria? good morning, i have just signed up/submitted my case in order to be able to petition @ZenithBank in regar…","London , Istanbul, Lagos.",66
90,2023-01-27 14:25:52+00:00,callmerossay,"I swear @ZenithBank have the worst customer care service both on calls and banking hall. They don't respond to mails, the contact number is not working well &amp; so many shitty stuff. I just tire sef",local ,0
91,2023-01-27 14:25:48+00:00,iammacnelson,@Wag0_0 @a_ma_ka__ @ZenithBank Who???,witness protection,0
92,2023-01-27 14:25:37+00:00,BigSwissMo,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,"Geneva, Switzerland",158
93,2023-01-27 14:24:47+00:00,mattdemonk,"@cenbank @myaccessbank Apapa Road, Lagos and @ZenithBank Makoko Junction, Lagos have both stopped collecting old Naira notes. Is the 31st deadline no longer valid?",Here and there.,0
94,2023-01-27 14:24:39+00:00,SaintTempestina,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Somewhere south of Utopia,158
95,2023-01-27 14:24:28+00:00,PhilipCKO,"By the time you arrive done reading this thread, you'd realise how messed up @ZenithBank is esp with customers security.

Also you'd see how it's now glaring how these frauds took place. Reminds me of that lady, who lost ₦4m plus and to all who lost money to one sportybet acct. https://t.co/HHcwgTNi4r",afloat,0
96,2023-01-27 14:24:23+00:00,magaji_collins,"Why are other banks no obeying the CBN policy, other banks are not putting New notes in thier ATM

@ZenithBank @myaccessbank @UNIONBANK_NG @gtbank @FirstBankngr @StanbicIBTC @UBAGroup @fcmb_help

@FirstBankngr weldone may your bank prosper as U respect the Nigerian constitution. https://t.co/Q3qAR45r2O","Abuja, Nigeria",0
97,2023-01-27 14:24:11+00:00,starprince_dev,@ZenithBank servers are screaming for help today,Cloud0.9,0
98,2023-01-27 14:24:07+00:00,DearRukevwe_,The only time this bank @ZenithBank pops up in my TL it’s for something fraudulent. Why are they still operating abeg?? The other lady’s own was 4m and now this guy’s 11m plus is at stake. These people are mad! https://t.co/LsSwJ7Rs08,V Bank- 1000470388,0
99,2023-01-27 14:24:02+00:00,OTROYAL12,"Be like say una won see craze bank no give new money Atm self no dispense again,cash wey Dey person hand dem Dey reject am be like say everybody for this country self no normal again @ZenithBank @gtbank @mocknews1 untop my 10k","Moscow, Russia Norway",1
100,2023-01-27 14:23:48+00:00,Christy22005192,@a_ma_ka__ @ZenithBank Don’t forget to sue them for the emotional torture,,0
101,2023-01-27 14:23:21+00:00,OlugbengaAkeem,@GODMANCity @a_ma_ka__ @ZenithBank @OPay_NG Do you have branch in Yaba?,,0
102,2023-01-27 14:23:10+00:00,Michael86323133,"@ZenithBank @isayaro_ I've been trying to log on to my zenith mobile app but it's showing me error always
Pls what could be the problem?",,0
103,2023-01-27 14:22:54+00:00,OlugbengaAkeem,"RT @GODMANCity: @a_ma_ka__ @ZenithBank @OPay_NG 
You have not refunded my money!!!!!!!
My 20k is still writing ""PENDING"" in the ""Manage Dis…",,1
104,2023-01-27 14:22:35+00:00,bossladycookist,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Le Cordon Bleu in Jesus name,1255
105,2023-01-27 14:22:19+00:00,slowabayomi,@ZenithBank my love for the bank 100% https://t.co/JqPL1tMQXn,,0
106,2023-01-27 14:21:20+00:00,SDaudamilila,"RT @rutie_xx: @a_ma_ka__ @ZenithBank I’m happy for you, but you need to stop using that bank.","Lagos, Nigeria",6
107,2023-01-27 14:20:39+00:00,masonsokun4real,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Lagos, Nigeria",1255
108,2023-01-27 14:20:03+00:00,masonsokun4real,@a_ma_ka__ @ZenithBank We are happy for that. Hope the remaining ones will be returned.,"Lagos, Nigeria",0
109,2023-01-27 14:19:42+00:00,DearRukevwe_,@Jeyon1 @Esemaria13 @cenbank It’s always a betting account with this thieving bank @ZenithBank literally the only time you people pop up in my TL is complaint about theft. Are you not tired of the dragging??,V Bank- 1000470388,0
110,2023-01-27 14:19:37+00:00,Aitey_,"RT @Jeyon1: hello @fccpcnigeria? good morning, i have just signed up/submitted my case in order to be able to petition @ZenithBank in regar…",,66
111,2023-01-27 14:19:05+00:00,Ayoajala_,@a_ma_ka__ @ZenithBank You don Dey look fresh now thank God 💐👏🏾,"Somewhere, someplace 🌲",0
112,2023-01-27 14:18:16+00:00,joshbabk,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",paradise,1255
113,2023-01-27 14:17:54+00:00,westystunner,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",My world,1255
114,2023-01-27 14:17:19+00:00,Lazyyorubaboy,"At this point if you complain about @ZenithBank  you are the problem. I believe the whole nigeria has established how horrible their services are. I’m speaking to myself too because if you don’t want high blood pressure, why bank with them",Nigeria,0
115,2023-01-27 14:16:12+00:00,Solutionwhyte,@villageboy01 @a_ma_ka__ @ZenithBank @StanChartNG I'm going to @StanChartNG immediately to open an account. They have been recommended greatly.,Around the world🌍,0
116,2023-01-27 14:15:30+00:00,HayZe032,"Be careful when calling out your incompetent banks @ZenithBank @gtbank @gtbank_help @UBAGroup. Due to thier incompetence and non chalance, fraudsters try to phish your info and steal your funds. Always check the handle, make sure you're interacting with their real handle. Be safe",I'm around ,1
117,2023-01-27 14:15:05+00:00,Mhiztaloyalty1,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",,1255
118,2023-01-27 14:15:01+00:00,thereal_nazzy,@ZenithBank You people are mad.....better reverse my money oh,"Lagos, Nigeria",0
119,2023-01-27 14:13:57+00:00,Benstinoc,"@Thonia_Aroh @Tha_Mentalist @Jeloxanbregaz_ @a_ma_ka__ @ZenithBank Oh, sorry about that. I totally forgot", Nigeria ,0
120,2023-01-27 14:13:52+00:00,abbaloly,"RT @ZenithBank: Dear Valued Customer,

07040004422 (ZIVA)
is the only Zenith Bank Whatsapp number.
ALL OTHERS ARE FAKE!
DO NOT ENGAGE WITH…",Nigeria,74
121,2023-01-27 14:12:47+00:00,YSH0009,@ZenithBank check DM,,0
122,2023-01-27 14:12:43+00:00,Chukwuemekanela,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",,1255
123,2023-01-27 14:11:59+00:00,Jbdoon,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/1fCswN9S89",kogi state nigeria,21
124,2023-01-27 14:11:46+00:00,EmekaNwaGuy,@ZenithBank why can’t they allow us to withdraw,Lagos,0
125,2023-01-27 14:11:27+00:00,Esemaria13,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Anfield,158
126,2023-01-27 14:11:18+00:00,DopeFranklin,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,"Greater Accra, Ghana and Lagos",158
127,2023-01-27 14:10:58+00:00,ekene_mmadu,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",,1255
128,2023-01-27 14:10:57+00:00,olufunmi_janet,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,"Lagos, Nigeria",158
129,2023-01-27 14:09:24+00:00,GAZZYOLA,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",far away,1255
130,2023-01-27 14:08:39+00:00,LadiNkem,"@ZenithBank Zenith pls what is happening to your ussd *966# o, Its been frustrating me since. Pls help out o",,0
131,2023-01-27 14:08:22+00:00,Itzumar_mohha,"RT @ZenithBank: Dear Valued Customer,

07040004422 (ZIVA)
is the only Zenith Bank Whatsapp number.
ALL OTHERS ARE FAKE!
DO NOT ENGAGE WITH…",Kaduna NorthSide Nigeria,74
132,2023-01-27 14:08:15+00:00,FatiTiKoFat1,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/1fCswN9S89",,21
133,2023-01-27 14:07:23+00:00,MeedaySapphire,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Abuja, Nigeria",1255
134,2023-01-27 14:06:53+00:00,mz_cathyy,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Abuja, Nigeria",1255
135,2023-01-27 14:06:09+00:00,Tayvon_Yung,"@a_ma_ka__ @TheTunmike @ZenithBank Big Congratulations, amaka🎉🎉
I'm super glad you got refunded.","Lagos,Nigeria",0
136,2023-01-27 14:05:07+00:00,MACAUVELLI,"@ZenithBank i don't want to take you people by surprise, call your Yenagoa branch, tell them i am coming. Since you people want to move mad, let's all dance to the drums of madness. I have never seen a more useless bank all my life.

30mins tops! I'll be there.",7.7.5,0
137,2023-01-27 14:03:24+00:00,Tayvon_Yung,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Lagos,Nigeria",1255
138,2023-01-27 14:03:17+00:00,IkenyeMoses,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/1fCswN9S89",In my Imagination ,21
139,2023-01-27 14:02:49+00:00,Staxstoner,"@Mr_Johnxteve @ZenithBank Since what time
Experiencing same glitch too","New York, USA",0
140,2023-01-27 14:02:48+00:00,ochookwu1,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,,158
141,2023-01-27 14:02:32+00:00,bolla18_,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","New York, NY",1255
142,2023-01-27 14:02:21+00:00,grey_phili,@villageboy01 @a_ma_ka__ @ZenithBank @StanChartNG 💯,CHINA,0
143,2023-01-27 14:01:27+00:00,Mrwisejaphet,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",30BG💐,1255
144,2023-01-27 14:01:05+00:00,Thonia_Aroh,@Benstinoc @Tha_Mentalist @Jeloxanbregaz_ @a_ma_ka__ @ZenithBank Pls can you follow me back ur dm is not open,"Lagos, Nigeria",0
145,2023-01-27 14:00:59+00:00,judejibs,@Jidosky1111 @folasimiloluwa @ZenithBank Them never do you something,"Lagos, Nigeria",0
